etaxonomy_key,irn,ClaGenus,ClaSpecies
1,757531,"Acomys","ignitus"
2,757529,"Acomys","kempi"
3,757538,"Acomys","spinosissimus"
4,757536,"Acomys","wilsoni"
5,757517,"Aepyceros","melampus"
6,757507,"Aethomys","chrysophilus"
7,757506,"Aethomys","hindei"
8,757510,"Aethomys","kaiseri"
9,757461,"Alcelaphus","buselaphus"
10,757396,"Anomalurus","derbianus"
11,757857,"Aonyx","capensis"
12,757773,"Arvicanthis","nairobae"
13,757774,"Arvicanthis","neumanni"
14,757777,"Arvicanthis","niloticus"
15,757662,"Balaenoptera","borealis"
16,757660,"Balaenoptera","edeni"
17,757664,"Balaenoptera","musculus"
18,757665,"Balaenoptera","physalus"
19,757636,"Bdeogale","crassicauda"
20,757635,"Bdeogale","jacksoni"
21,757633,"Beamys","hindei"
22,757601,"Bos","taurus"
23,757359,"Capra","aegagrus hircus"
24,757307,"Cephalophus","natalensis"
25,757298,"Cephalophus","spadix"
26,757142,"Civettictis","civetta"
27,757115,"Colobus","angolensis"
28,757102,"Connochaetes","taurinus"
29,756890,"Crocuta","crocuta"
30,756879,"Cryptomys","hottentotus"
31,756804,"Damaliscus","lunatus"
32,756800,"Dasymys","incomtus"
33,756766,"Delphinus","capensis"
34,756767,"Delphinus","delphis"
35,756747,"Dendromus","insignis"
36,756750,"Dendromus","melanotis"
37,756751,"Dendromus","mesomelas"
38,756749,"Dendromus","mystacalis"
39,756745,"Dendromus","nyikae"
40,756717,"Diceros","bicornis"
41,756488,"Eubalaena","australis"
42,756423,"Feresa","attenuata"
43,751036,"Genetta","angolensis"
44,751043,"Genetta","genetta"
45,751041,"Genetta","maculata"
46,751037,"Genetta","servalina"
47,756349,"Gerbilliscus","boehmi"
48,756346,"Gerbilliscus","inclusus"
49,756351,"Gerbilliscus","leucogaster"
50,756350,"Gerbilliscus","nigricaudus"
51,756354,"Gerbilliscus","robustus"
52,756348,"Gerbilliscus","validus"
53,756332,"Gerbillus","pusillus"
54,756291,"Giraffa","camelopardalis"
55,756270,"Globicephala","macrorhynchus"
56,756251,"Grammomys","dolichurus"
57,756246,"Grammomys","ibeanus"
58,756249,"Grammomys","macmillani"
59,756239,"Grampus","griseus"
60,756230,"Graphiurus","kelleni"
61,756233,"Graphiurus","microtis"
62,756235,"Graphiurus","murinus"
63,756184,"Heliophobius","argenteocinereus"
64,756183,"Heliosciurus","gambianus"
65,756181,"Heliosciurus","mutabilis"
66,756182,"Heliosciurus","rufobrachium"
67,756179,"Heliosciurus","undulatus"
68,756177,"Helogale","parvula"
69,756167,"Herpestes","ichneumon"
70,756154,"Herpestes","naso"
71,756126,"Hippopotamus","amphibius"
72,756037,"Hyaena","hyaena"
73,756030,"Hydrictis","maculicollis"
74,756010,"Hylochoerus","meinertzhageni"
75,755998,"Hylomyscus","anselli"
76,755997,"Hylomyscus","arcimontensis"
77,756004,"Hylomyscus","denniae"
78,756003,"Hylomyscus","stella"
79,755963,"Hystrix","africaeaustralis"
80,564490,"Hystrix","cristata"
81,755958,"Ichneumia","albicauda"
82,755953,"Ictonyx","striatus"
83,755949,"Idiurus","macrotis"
84,755900,"Kobus","ellipsiprymnus"
85,755898,"Kobus","vardonii"
86,755897,"Kogia","breviceps"
87,755889,"Lagenodelphis","hosei"
88,755823,"Lemniscomys","rosalia"
89,755826,"Lemniscomys","striatus"
90,755824,"Lemniscomys","zebra"
91,755735,"Lophiomys","imhausi"
92,312652,"Loxodonta","africana"
93,755652,"Madoqua","kirkii"
94,755569,"Mastomys","natalensis"
95,755565,"Mastomys","pernanus"
96,755528,"Megaptera","novaeangliae"
97,755520,"Mellivora","capensis"
98,755468,"Mesoplodon","densirostris"
99,755241,"Mungos","mungo"
100,753057,"Mus","minutoides"
101,753052,"Mus","musculoides"
102,564570,"Mus","musculus"
103,753040,"Mus","neavei"
104,753043,"Mus","sorella"
105,753045,"Mus","tenellus"
106,753042,"Mus","triton"
107,755176,"Mylomys","dybowskii"
108,755153,"Myomyscus","brockmani"
109,313347,"Myotis","bocagii"
110,755108,"Nandinia","binotata"
111,313508,"Neoromicia","capensis"
112,754806,"Oenomys","hypoxanthus"
113,754771,"Orcinus","orca"
114,754737,"Otomys","angoniensis"
115,754739,"Otomys","denti"
116,754734,"Otomys","lacustris"
117,754742,"Otomys","tropicalis"
118,566569,"Ovis","aries"
119,564630,"Panthera","pardus"
120,313918,"Papio","papio"
121,754650,"Paraxerus","boehmi"
122,754654,"Paraxerus","cepapi"
123,754653,"Paraxerus","flavovittis"
124,754649,"Paraxerus","lucifer"
125,754651,"Paraxerus","ochraceus"
126,754652,"Paraxerus","palliatus"
127,754647,"Paraxerus","vexillarius"
128,754636,"Pedetes","surdaster"
129,754634,"Pelomys","fallax"
130,754631,"Pelomys","minor"
131,754627,"Peponocephala","electra"
132,754558,"Phacochoerus","africanus"
133,314232,"Pipistrellus","rueppellii"
134,754341,"Poecilogale","albinucha"
135,754324,"Potamochoerus","larvatus"
136,754314,"Praomys","jacksoni"
137,754227,"Proteles","cristata"
138,754225,"Protoxerus","stangeri"
139,754166,"Pseudorca","crassidens"
140,754075,"Raphicerus","campestris"
141,750854,"Rattus","norvegicus"
142,750855,"Rattus","rattus"
143,754068,"Redunca","arundinum"
144,754067,"Redunca","fulvorufula"
145,754069,"Redunca","redunca"
146,753890,"Rhynchogale","melleri"
147,753855,"Saccostomus","campestris"
148,753854,"Saccostomus","mearnsi"
149,753632,"Sousa","chinensis"
150,753603,"Steatomys","parvus"
151,753607,"Steatomys","pratensis"
152,753595,"Stenella","attenuata"
153,753597,"Stenella","coeruleoalba"
154,753599,"Stenella","longirostris"
155,753594,"Steno","bredanensis"
156,564781,"Sus","scrofa"
157,753527,"Sylvicapra","grimmia"
158,753413,"Thallomys","loringi"
159,753415,"Thallomys","paedulcus"
160,753350,"Thryonomys","gregorianus"
161,753351,"Thryonomys","swinderianus"
162,753292,"Tragelaphus","spekii"
163,753240,"Tursiops","truncatus"
164,753224,"Uranomys","ruddi"
165,753175,"Viverricula","indica"
166,753147,"Xerus","erythropus"
167,753146,"Xerus","rutilus"
168,753134,"Zelotomys","hildegardeae"
169,753131,"Ziphius","cavirostris"
