etaxonomy_key,irn,ClaGenus,ClaSpecies
1,310639,"Balaenoptera","musculus"
2,310640,"Balaenoptera","physalus"
3,312093,"Grampus","griseus"
4,312427,"Kogia","breviceps"
5,312436,"Lagenodelphis","hosei"
6,312853,"Megaptera","novaeangliae"
7,314455,"Pseudorca","crassidens"
8,314601,"Rattus","norvegicus"
9,315093,"Sousa","chinensis"
10,315184,"Stenella","coeruleoalba"
11,315187,"Steno","bredanensis"
12,315590,"Tursiops","truncatus"
13,315700,"Ziphius","cavirostris"
14,312058,"Globicephala","macrorhynchus"
15,310638,"Balaenoptera","edeni"
16,313242,"Mus","musculus"
17,313775,"Orcinus","orca"
18,315227,"Suncus","murinus"
19,311689,"Dugong","dugon"
20,311899,"Feresa","attenuata"
21,312935,"Mesoplodon","densirostris"
22,313983,"Peponocephala","electra"
23,315182,"Stenella","attenuata"
24,313005,"Micropotamogale","ruwenzorii"
25,314229,"Pipistrellus","permixtus"
26,314688,"Rhinolophus","darlingi"
27,314691,"Rhinolophus","eloquens"
28,311277,"Crocidura","nana"
29,311278,"Crocidura","nanilla"
30,311285,"Crocidura","nigrofusca"
31,311294,"Crocidura","parvipes"
32,311309,"Crocidura","roosevelti"
33,311332,"Crocidura","turba"
34,311337,"Crocidura","voi"
35,312220,"Hipposideros","gigas"
36,312401,"Kerivoula","africana"
37,313510,"Neoromicia","guineensis"
38,313512,"Neoromicia","melckorum"
39,313517,"Neoromicia","zuluensis"
40,313544,"Neotragus","moschatus"
41,314233,"Pipistrellus","rusticus"
42,315230,"Suncus","varilla"
43,311624,"Dipodillus","harwoodi"
44,310303,"Alcelaphus","lichtensteinii"
45,310599,"Asellia","tridens"
46,310856,"Canis","aureus"
47,310885,"Cardioderma","cor"
48,310951,"Cercopithecus","albogularis"
49,310957,"Cercopithecus","doggetti"
50,310965,"Cercopithecus","mitis"
51,310980,"Chaerephon","ansorgei"
52,310981,"Chaerephon","bemmeleni"
53,310988,"Chaerephon","leucogaster"
54,310989,"Chaerephon","major"
55,310990,"Chaerephon","nigeriae"
56,311082,"Chlorocebus","pygerythrus"
57,311117,"Cloeotis","percivali"
58,311128,"Coleura","afra"
59,311205,"Crocidura","desperata"
60,311214,"Crocidura","fischeri"
61,311226,"Crocidura","gracilipes"
62,311235,"Crocidura","hirta"
63,311241,"Crocidura","jacksoni"
64,311289,"Crocidura","olivieri"
65,311334,"Crocidura","usambarae"
66,311335,"Crocidura","viaria"
67,311370,"Cryptomys","mechowi"
68,311509,"Dasymys","alleni"
69,311922,"Galago","granti"
70,311926,"Galago","orinus"
71,311927,"Galago","rondoensis"
72,311930,"Galago","zanzibaricus"
73,312198,"Hipposideros","caffer"
74,312248,"Hipposideros","ruber"
75,312257,"Hipposideros","vittatus"
76,312259,"Hippotragus","equinus"
77,312261,"Hippotragus","niger"
78,312335,"Hypsignathus","monstrosus"
79,312409,"Kerivoula","lanosa"
80,312489,"Lavia","frons"
81,312557,"Lepus","capensis"
82,312600,"Litocranius","walleri"
83,312629,"Lophuromys","ansorgei"
84,312645,"Lophuromys","sikapusi"
85,312646,"Lophuromys","verhageni"
86,312754,"Manis","tricuspis"
87,313095,"Miniopterus","minor"
88,216340,"Miniopterus","schreibersi"
89,313151,"Mops","brachypterus"
90,313156,"Mops","midas"
91,313160,"Mops","niveiventer"
92,313164,"Mops","thersites"
93,313451,"Nanger","granti"
94,313511,"Neoromicia","helios"
95,313514,"Neoromicia","rendalli"
96,313515,"Neoromicia","somalicus"
97,313516,"Neoromicia","tenuipinnis"
98,313633,"Nycteris","arge"
99,313634,"Nycteris","aurita"
100,313638,"Nycteris","intermedia"
101,313643,"Nycteris","nana"
102,313648,"Nycteris","woodi"
103,313652,"Nycticeinops","schlieffeni"
104,313778,"Oreotragus","oreotragus"
105,313793,"Oryx","beisa"
106,313845,"Otolemur","crassicaudatus"
107,313847,"Otolemur","monteiri"
108,313878,"Ourebia","ourebi"
109,314145,"Philantomba","monticola"
110,314198,"Physeter","catodon"
111,314201,"Piliocolobus","gordonorum"
112,314202,"Piliocolobus","kirkii"
113,314206,"Piliocolobus","tephrosceles"
114,314218,"Pipistrellus","hesperidus"
115,314562,"Raphicerus","sharpei"
116,314741,"Rhinolophus","swinnyi"
117,240843,"Rungwecebus","kipunji"
118,314916,"Scotoecus","albofuscus"
119,314918,"Scotoecus","hirundo"
120,314929,"Scotophilus","leucogaster"
121,314930,"Scotophilus","nigrita"
122,314934,"Scotophilus","viridis"
123,315214,"Suncus","aequatorius"
124,315221,"Suncus","lixus"
125,315288,"Sylvisorex","johnstoni"
126,315290,"Sylvisorex","lunaris"
127,315299,"Syncerus","caffer"
128,315302,"Tachyoryctes","ankoliae"
129,315308,"Tachyoryctes","naivashae"
130,315311,"Tachyoryctes","ruddi"
131,315315,"Tadarida","aegyptiaca"
132,315318,"Tadarida","fulminans"
133,315324,"Tadarida","ventralis"
134,315380,"Taphozous","hildegardeae"
135,315384,"Taphozous","mauritianus"
136,315386,"Taphozous","nudiventris"
137,315412,"Taterillus","harringtoni"
138,215792,"Taurotragus","oryx"
139,315535,"Tragelaphus","imberbis"
140,315536,"Tragelaphus","scriptus"
141,315538,"Tragelaphus","strepsiceros"
142,315548,"Triaenops","persicus"
143,310921,"Cephalophus","adersi"
144,310982,"Chaerephon","bivittatus"
145,311129,"Coleura","seychellensis"
146,314917,"Scotoecus","hindei"
147,311844,"Eudorcas","thomsonii"
148,310330,"Acinonyx","jubatus"
149,310602,"Atelerix","albiventris"
150,310616,"Atilax","paludinosus"
151,310855,"Canis","adustus"
152,310859,"Canis","mesomelas"
153,310883,"Caracal","caracal"
154,310949,"Cercocebus","sanjei"
155,310992,"Chaerephon","pumilus"
156,311131,"Colobus","guereza"
157,311167,"Cricetomys","ansorgei"
158,311258,"Crocidura","luna"
159,311273,"Crocidura","montis"
160,311517,"Dasymys","sua"
161,311554,"Dendrohyrax","arboreus"
162,311576,"Dendromus","nyasae"
163,311709,"Eidolon","helvum"
164,311714,"Elephantulus","brachyrhynchus"
165,311722,"Elephantulus","rufescens"
166,311790,"Epomops","dobsonii"
167,311791,"Epomops","franqueti"
168,239367,"Equus","burchelli"
169,311834,"Erythrocebus","patas"
170,311897,"Felis","silvestris"
171,311924,"Galago","moholi"
172,311928,"Galago","senegalensis"
173,311940,"Galerella","sanguinea"
174,312042,"Glauconycteris","argentata"
175,312052,"Glauconycteris","variegata"
176,312176,"Heterohyrax","brucei"
177,312209,"Hipposideros","cyclops"
178,312274,"Homo","sapiens"
179,312355,"Hystrix","africaeaustralis"
180,312358,"Hystrix","cristata"
181,312403,"Kerivoula","argentata"
182,312435,"Laephotis","wintoni"
183,312543,"Leptailurus","serval"
184,312570,"Lepus","microtis"
185,312630,"Lophuromys","aquilus"
186,312652,"Loxodonta","africana"
187,312668,"Lycaon","pictus"
188,312749,"Manis","gigantea"
189,312752,"Manis","temminckii"
190,313007,"Micropteropus","pusillus"
191,313080,"Mimetillus","moloneyi"
192,313085,"Miniopterus","africanus"
193,313096,"Miniopterus","natalensis"
194,242801,"Mops","bakarii"
195,313152,"Mops","condylurus"
196,313306,"Myonycteris","relicta"
197,313318,"Myosorex","geata"
198,313327,"Myosorex","zinki"
199,313426,"Myotis","tricolor"
200,313430,"Myotis","welwitschii"
201,313513,"Neoromicia","nanus"
202,313636,"Nycteris","grandis"
203,313637,"Nycteris","hispida"
204,313640,"Nycteris","macrotis"
205,313645,"Nycteris","thebaica"
206,313844,"Otocyon","megalotis"
207,313846,"Otolemur","garnettii"
208,313851,"Otomops","harrisoni"
209,313869,"Otomys","orestes"
210,313907,"Pan","troglodytes"
211,313908,"Panthera","leo"
212,313916,"Papio","cynocephalus"
213,314345,"Procavia","capensis"
214,314384,"Pronolagus","rupestris"
215,314658,"Rhabdomys","dilectus"
216,314676,"Rhinolophus","blasii"
217,314705,"Rhinolophus","landeri"
218,314711,"Rhinolophus","maendeleo"
219,314926,"Scotophilus","dinganii"
220,315224,"Suncus","megalura"
221,315285,"Sylvisorex","granti"
222,315286,"Sylvisorex","howelli"
223,315305,"Tachyoryctes","daemon"
224,315387,"Taphozous","perforatus"
225,313873,"Otomys","uzungwensis"
226,757115,"Colobus","angolensis"
227,311108,"Chrysochloris","stuhlmanni"
228,241604,"Congosorex","phillipsorum"
229,311179,"Crocidura","allex"
230,311211,"Crocidura","elgonius"
231,311222,"Crocidura","fuscomurina"
232,311233,"Crocidura","hildegardeae"
233,311271,"Crocidura","monax"
234,311326,"Crocidura","telfordi"
235,311344,"Crocidura","xantippe"
236,311783,"Epomophorus","gambianus"
237,311785,"Epomophorus","labiatus"
238,311787,"Epomophorus","minor"
239,311788,"Epomophorus","wahlbergi"
240,312599,"Lissonycteris","angolensis"
241,313319,"Myosorex","kihaulei"
242,313791,"Orycteropus","afer"
243,314087,"Petrodromus","tetradactylus"
244,314300,"Potamogale","velox"
245,314538,"Pteropus","voeltzkowi"
246,314682,"Rhinolophus","clivosus"
247,314689,"Rhinolophus","deckenii"
248,314696,"Rhinolophus","fumigatus"
249,314698,"Rhinolophus","hildebrandtii"
250,314736,"Rhinolophus","simulator"
251,314792,"Rhynchocyon","chrysopygus"
252,314793,"Rhynchocyon","cirnei"
253,314794,"Rhynchocyon","petersi"
254,228292,"Rhynchocyon","udzungwensis"
255,314802,"Rousettus","aegyptiacus"
256,314806,"Rousettus","lanosus"
257,311323,"Crocidura","tansaniana"
258,240681,"Pteropus","seychellensis"
259,310337,"Acomys","ignitus"
260,310339,"Acomys","kempi"
261,310347,"Acomys","spinosissimus"
262,310349,"Acomys","wilsoni"
263,310357,"Aepyceros","melampus"
264,310365,"Aethomys","chrysophilus"
265,310366,"Aethomys","hindei"
266,310368,"Aethomys","kaiseri"
267,310301,"Alcelaphus","buselaphus"
268,310474,"Anomalurus","derbianus"
269,310504,"Aonyx","capensis"
270,310591,"Arvicanthis","nairobae"
271,310592,"Arvicanthis","neumanni"
272,310593,"Arvicanthis","niloticus"
273,310637,"Balaenoptera","borealis"
274,310664,"Bdeogale","crassicauda"
275,310665,"Bdeogale","jacksoni"
276,310667,"Beamys","hindei"
277,238823,"Bos","taurus"
278,310866,"Capra","hircus"
279,310927,"Cephalophus","natalensis"
280,310933,"Cephalophus","spadix"
281,311115,"Civettictis","civetta"
282,311146,"Connochaetes","taurinus"
283,311350,"Crocuta","crocuta"
284,311368,"Cryptomys","hottentotus"
285,311503,"Damaliscus","korrigum"
286,311512,"Dasymys","incomtus"
287,311549,"Delphinus","capensis"
288,311550,"Delphinus","delphis"
289,311568,"Dendromus","insignis"
290,311572,"Dendromus","melanotis"
291,311573,"Dendromus","mesomelas"
292,311575,"Dendromus","mystacalis"
293,311577,"Dendromus","nyikae"
294,311592,"Diceros","bicornis"
295,311836,"Eubalaena","australis"
296,311957,"Genetta","angolensis"
297,311960,"Genetta","genetta"
298,311966,"Genetta","servalina"
299,311986,"Gerbilliscus","boehmi"
300,311991,"Gerbilliscus","leucogaster"
301,311992,"Gerbilliscus","nigricaudus"
302,311994,"Gerbilliscus","robustus"
303,311995,"Gerbilliscus","validus"
304,312031,"Gerbillus","pusillus"
305,312038,"Giraffa","camelopardalis"
306,312085,"Grammomys","dolichurus"
307,312088,"Grammomys","ibeanus"
308,312090,"Grammomys","macmillani"
309,312102,"Graphiurus","kelleni"
310,312104,"Graphiurus","microtis"
311,312106,"Graphiurus","murinus"
312,312142,"Heliophobius","argenteocinereus"
313,312143,"Heliosciurus","gambianus"
314,312144,"Heliosciurus","mutabilis"
315,312146,"Heliosciurus","rufobrachium"
316,312148,"Heliosciurus","undulatus"
317,312150,"Helogale","parvula"
318,239584,"Herpestes","ichneumon"
319,312165,"Herpestes","naso"
320,312191,"Hippopotamus","amphibius"
321,312277,"Hyaena","hyaena"
322,312284,"Hydrictis","maculicollis"
323,312304,"Hylochoerus","meinertzhageni"
324,239655,"Hylomyscus","anselli"
325,241605,"Hylomyscus","arcimontensis"
326,312312,"Hylomyscus","denniae"
327,312315,"Hylomyscus","stella"
328,312364,"Ichneumia","albicauda"
329,312370,"Ictonyx","striatus"
330,312372,"Idiurus","macrotis"
331,312422,"Kobus","ellipsiprymnus"
332,312506,"Lemniscomys","rosalia"
333,312508,"Lemniscomys","striatus"
334,312509,"Lemniscomys","zebra"
335,312619,"Lophiomys","imhausi"
336,312724,"Madoqua","kirkii"
337,312810,"Mastomys","natalensis"
338,312862,"Mellivora","capensis"
339,313189,"Mungos","mungo"
340,313240,"Mus","minutoides"
341,313241,"Mus","musculoides"
342,313253,"Mus","sorella"
343,313256,"Mus","tenellus"
344,313258,"Mus","triton"
345,313302,"Myomyscus","brockmani"
346,216292,"Myotis","bocagei"
347,313449,"Nandinia","binotata"
348,214918,"Neoromicia","capensis"
349,313743,"Oenomys","hypoxanthus"
350,313856,"Otomys","angoniensis"
351,313861,"Otomys","denti"
352,313865,"Otomys","lacustris"
353,313871,"Otomys","tropicalis"
354,313881,"Ovis","aries"
355,313910,"Panthera","pardus"
356,313915,"Papio","anubis"
357,313955,"Paraxerus","boehmi"
358,313956,"Paraxerus","cepapi"
359,313958,"Paraxerus","flavovittis"
360,313959,"Paraxerus","lucifer"
361,313960,"Paraxerus","ochraceus"
362,313961,"Paraxerus","palliatus"
363,313963,"Paraxerus","vexillarius"
364,313977,"Pelomys","fallax"
365,313980,"Pelomys","minor"
366,314111,"Phacochoerus","africanus"
367,216328,"Pipistrellus","rueppelli"
368,314284,"Poecilogale","albinucha"
369,314298,"Potamochoerus","larvatus"
370,314311,"Praomys","jacksoni"
371,333388,"Proteles","cristata"
372,314400,"Protoxerus","stangeri"
373,314560,"Raphicerus","campestris"
374,314611,"Rattus","rattus"
375,314633,"Redunca","arundinum"
376,314634,"Redunca","fulvorufula"
377,314635,"Redunca","redunca"
378,314795,"Rhynchogale","melleri"
379,314832,"Saccostomus","campestris"
380,314833,"Saccostomus","mearnsi"
381,315180,"Steatomys","parvus"
382,315181,"Steatomys","pratensis"
383,315186,"Stenella","longirostris"
384,315261,"Sus","scrofa"
385,315266,"Sylvicapra","grimmia"
386,315423,"Thallomys","loringi"
387,315425,"Thallomys","paedulcus"
388,315483,"Thryonomys","gregorianus"
389,315484,"Thryonomys","swinderianus"
390,315537,"Tragelaphus","spekii"
391,315603,"Uranomys","ruddi"
392,315658,"Viverricula","indica"
393,315683,"Xerus","erythropus"
394,315686,"Xerus","rutilus"
395,315697,"Zelotomys","hildegardeae"
396,311962,"Genetta","maculata"
397,312426,"Kobus","vardonii"
398,312811,"Mastomys","pernanus"
399,313974,"Pedetes","surdaster"
400,313243,"Mus","neavei"
401,311989,"Gerbilliscus","inclusus"
402,313281,"Mylomys","dybowskii"
