Current IRN,Full sci name,ClaGenus,ClaSpecies,Possible Alt IRN (from aferguson group),sort,5
757115,Colobus angolensis,Colobus,angolensis,757115,1,match
312652,Loxodonta africana,Loxodonta,africana,312652,1,match
755963x,Hystrix africaeaustralis,Hystrix,africaeaustralis,312355,1,original irn possibly deleted
564490x,Hystrix cristata,Hystrix,cristata,312358,1,original irn possibly deleted
313918x,Papio cynocephalus,Papio,papio,313916,1,original irn possibly deleted
757531,Acomys ignitus,Acomys,ignitus,310337,,
757529,Acomys kempi,Acomys,kempi,310339,,
757538,Acomys spinosissimus,Acomys,spinosissimus,310347,,
757536,Acomys wilsoni,Acomys,wilsoni,310349,,
757517,Aepyceros melampus,Aepyceros,melampus,310357,,
757507,Aethomys chrysophilus,Aethomys,chrysophilus,310365,,
757506,Aethomys hindei,Aethomys,hindei,310366,,
757510,Aethomys kaiseri,Aethomys,kaiseri,310368,,
757461,Alcelaphus buselaphus,Alcelaphus,buselaphus,310301,,
757396,Anomalurus derbianus,Anomalurus,derbianus,310474,,
757857,Aonyx capensis,Aonyx,capensis,310504,,
757773,Arvicanthis nairobae,Arvicanthis,nairobae,310591,,
757774,Arvicanthis neumanni,Arvicanthis,neumanni,310592,,
757777,Arvicanthis niloticus,Arvicanthis,niloticus,310593,,
757662,Balaenoptera borealis,Balaenoptera,borealis,310637,,
757660,Balaenoptera edeni,Balaenoptera,edeni,310638,,
757664,Balaenoptera musculus,Balaenoptera,musculus,310639,,
757665,Balaenoptera physalus,Balaenoptera,physalus,310640,,
757636,Bdeogale crassicauda,Bdeogale,crassicauda,310664,,
757635,Bdeogale jacksoni,Bdeogale,jacksoni,310665,,
757633,Beamys hindei,Beamys,hindei,310667,,
757601,Bos taurus,Bos,taurus,238823,,
757359,Capra hircus,Capra,hircus,310866,,
757307,Cephalophus natalensis,Cephalophus,natalensis,310927,,
757298,Cephalophus spadix,Cephalophus,spadix,310933,,
757142,Civettictis civetta,Civettictis,civetta,311115,,
757102,Connochaetes taurinus,Connochaetes,taurinus,311146,,
756890,Crocuta crocuta,Crocuta,crocuta,311350,,
756879,Cryptomys hottentotus,Cryptomys,hottentotus,311368,,
756804,Damaliscus lunatus,Damaliscus,lunatus,311503,,
756800,Dasymys incomtus,Dasymys,incomtus,311512,,
756766,Delphinus capensis,Delphinus,capensis,311549,,
756767,Delphinus delphis,Delphinus,delphis,311550,,
756747,Dendromus insignis,Dendromus,insignis,311568,,
756750,Dendromus melanotis,Dendromus,melanotis,311572,,
756751,Dendromus mesomelas,Dendromus,mesomelas,311573,,
756749,Dendromus mystacalis,Dendromus,mystacalis,311575,,
756745,Dendromus nyikae,Dendromus,nyikae,311577,,
756717,Diceros bicornis,Diceros,bicornis,311592,,
756488,Eubalaena australis,Eubalaena,australis,311836,,
756423,Feresa attenuata,Feresa,attenuata,311899,,
751036,Genetta angolensis,Genetta,angolensis,311957,,
751043,Genetta genetta,Genetta,genetta,311960,,
751041,Genetta maculata,Genetta,maculata,311962,,
751037,Genetta servalina,Genetta,servalina,311966,,
756349,Gerbilliscus boehmi,Gerbilliscus,boehmi,311986,,
756346,Gerbilliscus inclusus,Gerbilliscus,inclusus,311989,,
756351,Gerbilliscus leucogaster,Gerbilliscus,leucogaster,311991,,
756350,Gerbilliscus nigricaudus,Gerbilliscus,nigricaudus,311992,,
756354,Gerbilliscus robustus,Gerbilliscus,robustus,311994,,
756348,Gerbilliscus validus,Gerbilliscus,validus,311995,,
756332,Gerbillus pusillus,Gerbillus,pusillus,312031,,
756291,Giraffa camelopardalis,Giraffa,camelopardalis,312038,,
756270,Globicephala macrorhynchus,Globicephala,macrorhynchus,312058,,
756251,Grammomys dolichurus,Grammomys,dolichurus,312085,,
756246,Grammomys ibeanus,Grammomys,ibeanus,312088,,
756249,Grammomys macmillani,Grammomys,macmillani,312090,,
756239,Grampus griseus,Grampus,griseus,312093,,
756230,Graphiurus kelleni,Graphiurus,kelleni,312102,,
756233,Graphiurus microtis,Graphiurus,microtis,312104,,
