irn,DesLabel0(+ group='1'),DesDescription0(+ group='1'),DesBiblioRef0(+ group='1').irn,DesLabel0(+ group='2'),DesDescription0(+ group='2'),DesBiblioRef0(+ group='2').irn,DesLabel0(+ group='3'),DesDescription0(+ group='3'),DesBiblioRef0(+ group='3').irn,DesLabel0(+ group='4'),DesDescription0(+ group='4'),DesBiblioRef0(+ group='4').irn,DesLabel0(+ group='5'),DesDescription0(+ group='5'),DesBiblioRef0(+ group='5').irn,DesLabel0(+ group='6'),DesDescription0(+ group='6'),DesBiblioRef0(+ group='6').irn,DesLabel0(+ group='7'),DesDescription0(+ group='7'),DesBiblioRef0(+ group='7').irn
311108,Type Description,"
Sitzb. Ges. Naturf. Fr. Berlin, p.123
",41852,Description,"There is no visible tail or eyes, the two of the claws on the front foot are well developed, and there is a green, blue or purple metallic sheen on the fur.  This combination of external characters makes this animal unmistakable.",41852,Type Locality,"
Uganda, Ruwenzori region, 'Ukondjo und Kinyawanga'.
",41852,Distribution,"Chrysochloris stuhlmanni is restricted to the East African montane highlands (Kingdon, 1984, 1997). In Tanzania, C. stuhlmanni occurs in the Uluguru and Udzungwa mountains and the southern highlands in Iringa and Mbeya Regions.",41852,Comparisons,No other animal has the combination of characters listed in the description above.,41852,Measurements, Head and body: 105-120 mmTail length: 4-5 mmWeight: 26-53 g,41852,,,
313005,Type Description,"
Bull. Inst. R. Sci. nat. Belg., 31(84):9
",41852,Type Locality,"

",41852,Measurements," Head and body: 123-200 mmTail length: 100-150 mmWeight: 135 gKey Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:11-13.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 137-138.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:186-188.
 
",41852,,,,,,,,,,,,
314300,Type Description,"
Proc. Boston Soc. Nat. Hist., 7:361
",41852,Description,"Potamogale velox is recognized by the flattened tail that helps it to move through water. The muzzle is flattened, and has many whiskers.  It is brown above and white or yellowish below.  The hind feet are not webbed.",41852,Type Locality,"
Mountains of the interior, or in the hilly country north and south of the equator, Equatorial Africa [Gabon].
",41852,Distribution,"Potamogale velox is found in rivers within the main forest block from Nigeria to W Kenya. This species occurs in large, fast-flowing rivers, streams, sluggish coastal rivers and swamps. It retreats to burrows and crevices on the riferbank to rest and breed. (Kingdon, 1997)Ecological Notes:While this species has not been recorded in Tanzania, it has been observed in countries neighboring Tanzania's northern and western borders and it is possible that Potamogale may be discovered within the country.  Associated with aquatic habitats (including stagnant pools, slow and fast moving streams), this animal is a good swimmer, using its tail for locomotion through water. Potamogale eats crabs, frogs and fish, and lives in holes and tunnels in stream banks.Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:14-18.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 137-138.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:186-187.
 
",41852,Comparisons,"The Ruwenzori otter shrew (Micropotamogale ruwenzorii) occurs in Uganda and may be found in Tanzania in the future.  This animal is smaller than Potamogale, the tail is not as flattened, and the digits of the hind feet are webbed. While otters (Aonyx) have the same dorsal color and body form as Potamogale they are bigger and do not have the flattened tail.",41852,Measurements, Head and body: 290-350 mmTail length: 245-290 mmWeight: 1 kg,41852,,,
311714,Type Description,"
Rept. Exped. Exploring Central Africa, 1834:42 [1836]
",41852,Description,"Elephantulus brachyrhynchus is golden on the top and lighter on the ventral surface.  There is no pectoral gland present, the ears are relatively short and there are no white rings around the eyes.  The tail is shorter than the length of the head and body.
",41852,Type Locality,"
The country between Lake Latakoo and the Tropic (=South Africa, Northern Cape Province, Kuruman, to S Botswana).
",41852,Comparisons,"Elephantulus brachyrhynchus differs from the only other species in the genus found in Tanzania, Elephantulus rufescens, in having no gland marked by a spot on the center of the chest, and having a tail that is shorter than the head and body.
",41852,Measurements, Head and body: 110-138 mmTail length: 85-124 mmWeight: 40 g,41852,,,,,,
311722,Type Description,"
Monatsb. K. Preuss. Akad. Wiss., Berlin, 1878:198
",41852,Description,Elephantulus rufescens the colour of golden sand on top and lighter underneath. There is a noticeable spot on the chest marking a pectoral gland.  The ears are relatively long. There are white rings around the eyes and a brown mark behind each eye.  The tail is about the same length as the head and body.,41852,Type Locality,"
Kenya, Taita, Ndi.
",41852,Comparisons,"Elephantulus rufescens differs from the only other species in the genus found in Tanzania, Elephantulus brachyrhynchus, in having a gland marked by a spot on the center of the chest, and having a tail that is about the same length as the head and body, and white rings around the eyes.",41852,Measurements, Head and body: 103-150 mmTail length: 100-165 mmWeight: 25-50 g,41852,,,,,,
314087,Type Description,"
Bericht Verhandl. K. Preuss. Akad. Wiss. Berlin, 11:258
",41852,Description,"Petrodromus tetradactylus is the color of ash dorsally and white ventrally.  There is a white ring around the eye. The tail has very black stout hairs along the ventral side, and there are four toes on each hind foot.",41852,Type Locality,"
Mozambique, Tette.
",41852,Distribution,"Petrodromus tetradactylus is found within dense evergreen undergrowth in the caesalpinoid forests, woodlands and thickets throughout SE and central Africa with a distinct population inhabiting the Dem. Rep. Congo (Zaire) basin (south of the main river). It lives in burrows on the forest or thicket floors, using habitual pathways with regularly spaced 'landing pads' of cleared, bare earth. (Kingdon, 1997)",41852,Comparisons,"The only other sengis that are as big are Rhynchocyon, which are bigger, of much darker colours and have five (not four) toes on each
front foot. Elephantulus is a smaller sengi, roughly half the size of Petrodromus, and there are five (not four) toes on each hind foot.",41852,Measurements, Total length: 323-360 mmHead and body: 165-220 mmTail length: 130-180 mmHindfoot length: 54-61 mmEar length: 33-35 mmWeight: 155-220 g,41852,,,
314792,Type Description,"
Proc. Zool. Soc. Lond., 1881:164
",41852,Description,"Rhynchocyon chrysopygus is recognized by the bright golden rump, contrasting with the rufous colour on the front of the animal.
",41852,Type Locality,"
Kenya, Mombasa.
",41852,Distribution,"Rhynchocyon chrysopygus is restricted to coastal forests of central and southern Kenya within dry evergreen thickets. (Kingdon, 1984, 1997) There have been unconfirmed reports of it occurring in the coastal forests of Tanzania.Ecological Notes:This diurnal animal builds nests of leaves and stays in the same nest for one to three nights, until moving and building a new nest.  R. chrysopygus breeds throughout the year and breeding couples form monogamous pairs (Rathbun, 1979).
Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. (Insectivores and Bats). University of Chicago Press, Chicago, 2A:40-52.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 152.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 2:1739-1742.4. Rathbun, G. B. 1979. Rhynchocyon chrysopygus. Mammalian Species, No. 117, pps. 1-4.
 
",41852,Comparisons,"None of the other Rhynchocyon species have a bright golden rump.
",41852,Measurements, Head and body: 235-315 mmTail length: 190-263 mmWeight: 408-440 g,41852,,,
314793,Type Description,"
Bericht Verhandl. K. Preuss. Akad. Wiss. Berlin, 12:37
",41852,Description,"Rhynchocyon cirnei is recognized by the distinctive pattern of spots and stripes.  Representatives of this species found in coastal habitats are not as distinctive, and further study is needed to elucidate the relationships of these forms to other races of sengi.  R. cirnei is the most diverse of the currently recognized species of sengi and several subspecies are recognized.",41852,Type Locality,"
Mozambique, Bororo Dist., Quelimane.
",41852,Distribution,"Rhynchocyon cirnei resides in forests and gallery forests at low, medium, and high altitudes throughout the east african nations. (Kingdon, 1984, 1997)",41852,Comparisons,None of the other Rhynchocyon species have the distinctive pattern of spots and stripes.,41852,Measurements, Total length: 495 mmHead and body: 235-315 mmTail length: 190-263 mmHindfoot length: 80 mmEar length: 30 mmWeight: 408-440 g,41852,,,
314794,Type Description,"
J. Sci. Math. Phys. Nat. Lisboa, ser. 1, 7:159
",41852,Description,This distinctive sengi has a brightly contrasting red head and a mostly black back and rump.,41852,Type Locality,"
Tanzania, mainland opposite Zanzibar.
",41852,Distribution,"Rhynchocyon petersi is found within the coastal and montane forests and thickets along the Tanzaninan and Kenyan coastline. (Kingdon, 1984, 1997)",41852,Comparisons,"The black on the rump of R. petersi extends up the back and up to the shoulders, differentiating it from R. udzungwensis, where the black is confined to the rump.  The forehead is orange or red in R. petersi, and not grizzled grey as in R. udzungwensis.  The lack of distinctive spots or golden rump differentiates R. petersi from R. cirnei and R. chrysopygus, respectively.",41852,Measurements, Total length: 485-544 mmHead and body: 235-315 mmTail length: 190-263 mmHindfoot length: 73-88 mmEar length: 30-35 mmWeight: 408-440 g,41852,,,
228292,Type Description,"
Rovero, F., G. B. Rathbun, A. Perkin, T. Jones, D. O. Ribble, C. Leonard, R. R. Mwakisoma and N. Doggart. 2008. A new species of giant sengi or elephant-shrew (genus Rhynchocyon) highlights the exceptional biodiversity of the Udzungwa Mountains of Tanzania, Journal of Zoology, 274(2008):126-133.
",41852,Description,"One of the largest elephant shrews, this recently discovered sengi has a grey grizzled forehead and blackish rump, and the black does not extend up to the shoulders along the back.",41852,Type Locality,"
Vikomgwa River Valley, Ndundulu Forest, West Kilombero Scarp Forest Reserve, Udzungwa Mountains, Iringa region, Tanzania [07°48.269'S, 36°30.355'E(Arc 1960 datum)], at 1350m a.s.l. This location is c. 15km south-east of Udekwa Village, Iringa Region, Tanzania. (Rovero, Rathbun, Perkin, Jones, Ribble, Leonard, Mwakisoma and Doggart, 2008)
",41852,Distribution,"Rhynchocyon udzungwensis is concentrated within the closed canopy forests of Ndundulu-Luhomero from 1350 to 2300m and  Mwanihana from 1000 to 1700m within the Udzungwa Mountains.  (Rovero et al., 2008).
Ecological Notes:R. udzungwensis is always found in moist forest, including bamboo habitats.  This species is diurnal and builds nests of leaves much like other species in the genus. (Rovero et al., 2008). For more information on this species and other mammals of the Udzungwa Mountains, Tanzania, visit the website for the Udzungwa Ecological Monitoring Centre.

Key Reference:1. Rovero, F., G. B. Rathbun, A. Perkin, T. Jones, D. O. Ribble, C. Leonard, R. R. Mwakisoma and N. Doggart. 2008. A new species of giant sengi or elephant-shrew (genus Rhynchocyon) highlights the exceptional biodiversity of the Udzungwa Mountains of Tanzania, Journal of Zoology, 274(2008):126-133.
 
",41852,Comparisons,"The grey forehead and black rump, with the black not extending up past the midpoint of the back, differentiates this species from R. petersi.  The lack of distinctive spots or golden rump differentiates R. udzungwensis from R. cirnei and R. chrysopygus, respectively.
",41852,Measurements, Total length: 550-580 mmHead and body: 297-318 mmTail length: 239-262 mmHindfoot length: 79-88 mmEar length: 31-37 mmWeight: 658-750 g,41852,,,
313791,Type Description,"
Misc. Zool., p. 64
",41852,Description,"While the aardvark is pig like in appearance, the long snout with circular nostrils and large tubular ears make it unmistakable. The cheek teeth are unique among mammals in having numerous hexagonal prisms of dentine.",41852,Type Locality,"
South Africa, Western Cape Prov., Cape of Good Hope.
",41852,Distribution,"The aardvark is widespread throughout Africa south of the Sahara excluding the equatorial areas from the Cameroons and Gabon to the western Congo and along the western coastline from Namibia to South Africa. This species can be found throughout a variety of vegetation types in areas that are abundant with ants, termites, and beetle larvae. (Kingdon, 1984, 1997)",41852,Comparisons,There is nothing like an aardvark!,41852,Measurements, Total length: 1610-2000 mmHead and body: 1000-1580 mmTail length: 445-610 mmEar length: 150-210 mmWeight: 50-82 kg,41852,,,
311554,Type Description,"
Trans. Linn. Soc. Lond., 15:468
",41852,Description,"Commonly hunted for food, tree hyraxes are very vocal at night with regional variation in calls.  Look for elongate fingers, long black hairs protruding from a dark fur and a concave profile to the skull when viewed from the side.",41852,Type Locality,"
South Africa, Western Cape Prov., forests of Cape of Good Hope.
",41852,Distribution,"Dendrohyrax arboreus is abundant throughout galleries, riverine strips, montane forests and relics, and dry areas with Acacia growth from sea-level to 4,500 m. This species is distributed from Kenya, Uganda and Tanzania in the north down into the southern Congo and Zambia and along the montane areas around Lake Malawi with a couple small isolated areas in Mozambique and South Africa. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 405-600 mmWeight: 1500-3350 g,41852,,,,,,
312176,Type Description,"
Ann. Mag. Nat. Hist., ser. 4, 1:44
",41852,Description,The pale eyebrows of this animal distinguish it from other hyraxes.  The relationships among hyraxes remain poorly understood.,41852,Type Locality,"
Ethiopia (= Abyssinia).
",41852,Distribution,"Heterohyrax brucei is found in wooded localities on riverbanks, escarpments, and rocky outcrops covering altitude ranges from sea-level to 3,800 m. This species is distributed throughout east and south-central Africa, from the east coastline of Egypt down into the Sudan, Ethiopia and Somalia throughout East Africa and across from Mozambique into Angola. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 305-465 mmWeight: 1020-2210 g,41852,,,,,,
314345,Type Description,"
Misc. Zool., P. 30
",41852,Description,The relationships among hyraxes are still unclear.,41852,Type Locality,"
South Africa, Western Cape Prov., Cape of Good Hope.
",41852,Distribution,"Procavia capensis is found in dry, rocky areas of Kenya, Uganda and Northern Tanzania. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 450-550 mmHead and body: 380-600 mmWeight: 1800-5500 g,41852,,,,,,
