order,url,page_type,section,opt_a_link,opt_a_text,opt_a_img,opt_b_link,opt_b_text,opt_b_img,other_images,other_text,match_taxon,match_common,image_credits
5,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=144,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_M_pusillus_144_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_M_pusillus_144_b.jpg,,"Micropteropus pusillus (Peters, 1868)",,
8,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=139,Match-page,,,,,,,,,,"Epomops dobsonii (Bocage, 1889)",,
9,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=140,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_franqueti_140_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_franqueti_140_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_franqueti_140.jpg,,"Epomops franqueti (Tomes, 1860)",,
7,http://archive.fieldmuseum.org/tanzania/SkinKey_swa.asp?catalog=2&setion=5&key=13,Option-page,Sehemu: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=139,"Chaguo A
A.  Kuna matuta matatu kwenye kaakaa laini kati ya magego.B.  Kuna matuta mawili tu nyuma ya magego ambayo yana mchomozo wa pembetatu.
Chagua",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomops_2_1a.jpg,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=140,"Chaguo B
A.  Kuna matuta manne kwenye kaakaa laini kati ya magego.B.  Kuna angalau matuta matano nyuma ya magego ambayo ni membamba kama msumeno na yana mchomozo wa pembetatu.
Chagua",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomops_2_1b.jpg,,,,,©R. Banasiak | ©R. Banasiak
11,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=138,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_wahlbergi_138_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_wahlbergi_138_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_wahlbergi_138_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_wahlbergi_138.jpg,,"Epomophorus wahlbergi (Sundevall, 1846)",,
13,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=134,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_gambianus_134_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_gambianus_134_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_gambianus_134_a.jpg,,"Epomophorus gambianus (Ogilby, 1835)",,
15,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=135,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_labiatus_135_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_labiatus_135_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_labiatus_135_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_labiatus_135.jpg,,"Epomophorus labiatus (Temminck, 1837)",,
16,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=137,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_minimus_136_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_minor_136_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_minor_137.jpg,,"Epomophorus minor Dobson, 1880",,
14,http://archive.fieldmuseum.org/tanzania/SkinKey_swa.asp?catalog=2&setion=5&key=12,Option-page,Sehemu: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=135,"Chaguo A
A.  Urefu wa kigasha ni 67 mm au zaidi kwa madume na 64 mm kwa majike.B.  Urefu mkubwa kabisa wa sehemu ya fuu inayohifadhi ubongo ni 40 mm au zaidi kwa madume na 38 mm au zaidi kwa majike.
Chagua",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_3a.jpg,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=137,"Chaguo B
A.  Urefu wa kigasha ni chini ya 69 mm kwa madume na 68 mm kwa majike.B.  Urefu mkubwa kabisa wa sehemu ya fuu inayohifadhi ubongo ni chini ya 42 mm au zaidi kwa madume na 40 mm kwa majike.
Chagua",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_3b.jpg,,,,,©R. Banasiak | ©R. Banasiak
12,http://archive.fieldmuseum.org/tanzania/SkinKey_swa.asp?catalog=2&setion=5&key=11,Option-page,Sehemu: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=134,"Chaguo A
A.  Kigasha kina urefu zaidi ya 75 mm.B.  Urefu mkubwa kabisa wa sehemu ya fuu inayohifadhi ubongo ni 50 mm au zaidi kwa madume na 45 mm kwa majike.
Chagua",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey_swa.asp?catalog=2&setion=5&key=12,"Chaguo B
A.  Kigasha kina urefu chini ya 75 mm.B.  Urefu mkubwa kabisa wa sehemu ya fuu inayohifadhi ubongo ni 50 mm au chini kwa madume na chini ya 45 mm kwa majike.
Chagua",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_2b.jpg,,,,,©R. Banasiak | ©R. Banasiak
