order,url,page_type,section,opt_a_link,opt_a_text,opt_a_img,opt_b_link,opt_b_text,opt_b_img,other_images,other_text,match_taxon,match_common,image_credits
3,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=158,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_158a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_158b.jpg,['Spishi 1 imepatikana Tanzania: Manis temminckii. Mnyama huyu anatofautiana na wengine kwa kutokuwa na meno na kwa kuwa na magamba kwenye kiwiliwili chote.'],Manis,,©R. Banasiak | ©R. Banasiak
6,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=395,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_australis_395_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_australis_395_b.jpg,,"Eubalaena australis (Desmoulins, 1822)",,
8,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=400,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_M_novaeangliae_400_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_M_novaeangliae_400_b.jpg,,"Megaptera novaeangliae (Borowski, 1781)",,
9,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=165,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_165a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_165b.jpg,"[""Spishi 4 zimepatikana Tanzania: Balaenoptera borealis (Sei Whale), Balaenoptera edeni (Bryde's au Tropical Whale), Balaenoptera musculus (Blue Whale) na Balaenoptera physalus (Fin Whale). ""]",Balaenoptera,,©B. Mehl | ©B. Stanley
7,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=27&key=2,Option-page,Sehemu: Mysticeti,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=400,"A.  Upana wa “rostrum” ni chini ya 58% ya upana wa “zygomatic arch” (Clapham & Mead, 1999).
B.  Ukiangalia kutoka chini, sehemu ya nje ya mfupa wa “squamosal” ni mviringo, inapotoka nyuma ya fuu na kufuata upande wa fuu.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Mysticeti_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=165,"A.  Upana wa “rostrum” ni zaidi ya 58% ya upana wa “zygomatic arch” (Clapham & Mead, 1999).
B.  Ukiangalia kutoka chini, sehemu ya nje ya mfupa wa “squamosal” inaunda pembe kali, inapotoka nyuma ya fuu na kufuata upande wa fuu.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Mysticeti_2b.jpg,,"['', '', '©B. Stanley; USNM 269982', '©B. Stanley; USNM 504944', 'Chagua', 'Chagua']",,,©B. Stanley; USNM 269982 | ©B. Stanley; USNM 504944
5,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=27&key=1,Option-page,Sehemu: Mysticeti,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=395,"A.  “Rostrum” ya “cranium” ina umbo la tao.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Mysticeti_1a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=27&key=2,"A.  “Rostrum” ya “cranium” haina umbo kamili la tao.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Mysticeti_1b.jpg,,"['', '', '©R. Banasiak', '©B. Stanley; USNM 269982 & 504944', 'Chagua', 'Chagua']",,,©R. Banasiak | ©B. Stanley; USNM 269982 & 504944
10,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=159,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_159a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_159b.jpg,['Spishi 1 imepatikana Tanzania: Grampus griseus. Kiwiliwili cha mnyama huyu kina makovu yanayotokana na Grampus wengine. '],Grampus,,©P. Hamilton | ©R. Banasiak
4,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=1&key=3,Option-page,Sehemu: General,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=27&key=1,"A.  Hakuna meno kwenye taya ya juu wala ya chini lakini inawezekana kuna “baleen” kwenye taya ya juu.
B.  Fuu refu kuliko yote ni zaidi ya mita 1.",http://archive.fieldmuseum.org/tanzania/Key_Images/General_3a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=159,"A.  Hakuna meno wala “baleen” kwenye taya ya juu.
B.  Kuna mashimo mawili mahali palipokuwa na meno zamani kwenye sehemu ya mbele ya taya ya chini.
C.  Fuu refu kuliko yote ni chini ya mita 1.",http://archive.fieldmuseum.org/tanzania/Key_Images/General_3b.jpg,,"['', '', '©R. Banasiak & B. Mehl', '©R. Banasiak', 'Chagua', 'Chagua']",,,©R. Banasiak & B. Mehl | ©R. Banasiak
2,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=1&key=2,Option-page,Sehemu: General,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=158,"A.  Hakuna meno kwenye taya ya juu wala ya chini na hakuna “baleen” kwenye taya ya juu.
B.  Kuna vipande vya mfupa vyenye umbo la pia mbele ya taya ya chini lakini vipande hivyo sio meno.
C.  Fuu refu kuliko yote ni chini ya 200 mm.
D.  Mnyama haishi baharini.",http://archive.fieldmuseum.org/tanzania/Key_Images/General_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=1&key=3,"A.  Hakuna meno kwenye taya ya juu wala ya chini lakini inawezekana kuna “baleen” kwenye taya ya juu.
B.  Hakuna vipande vya mfupa vyenye umbo la pia mbele ya taya ya chini.
C.  Fuu refu kuliko yote ni zaidi ya 200 mm.
D.  Mnyama anaishi baharini.",http://archive.fieldmuseum.org/tanzania/Key_Images/General_2b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Chagua', 'Chagua']",,,©R. Banasiak | ©R. Banasiak
12,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=17,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_L_africana_17_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_L_africana_17_b.jpg,,"Loxodonta africana (Blumenbach, 1797)",,
14,http://archive.fieldmuseum.org/tanzania/Species_swa.asp?ID=19,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_D_dugon_19_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_D_dugon_19_b.jpg,,"Dugong dugon (Muller, 1776)",,
18,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=159,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_159a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_159b.jpg,['Spishi 1 imepatikana Tanzania: Grampus griseus. Kiwiliwili cha mnyama huyu kina makovu yanayotokana na Grampus wengine. '],Grampus,,©P. Hamilton | ©R. Banasiak
20,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=208,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_208a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_208b.jpg,"['Spishi 1 imepatikana Tanzania: Kogia breviceps. Tundu moja la pua la mnyama huyu ni kubwa kuliko la pili, kama ilivyo kwa « bigger sperm whale » . ']",Kogia,,©J. Howland | ©B. Stanley
21,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=197,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_197a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_197b.jpg,"['Spishi 1 imepatikana Tanzania: Physeter macrocephalus. Nyangumi huyu wa pekee ndiye anayetokea kwenye riwaya ya “Moby Dick"".']",Physeter,,©J. Howland | ©R. Banasiak
19,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=29&key=3,Option-page,Sehemu: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=208,"Kila upande wa taya ya chini una meno 16 au chini yake.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_3a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=197,"Kila upande wa taya ya chini una meno 18 au zaidi.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_3b.jpg,,"['', '', '©B. Stanley; USNM 504338', '©R. Banasiak', 'Chagua', 'Chagua']",,,©B. Stanley; USNM 504338 | ©R. Banasiak
17,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=29&key=2,Option-page,Sehemu: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=159,"Kila upande wa taya ya chini una meno 7 au chini yake. (mara nyingi, meno 1 hadi 3).
",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=29&key=3,"Kila upande wa taya ya chini una meno 7 au zaidi.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_2b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Chagua', 'Chagua']",,,©R. Banasiak | ©R. Banasiak
24,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=209,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_209a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_209b.jpg,['Spishi 1 imepatikana Tanzania: Globicephala macrorhynchus.'],Globicephala,,©J. Howland | ©P. Lai
26,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=210,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_210a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_210b.jpg,['Spishi 1 imepatikana Tanzania: Pseudorca crassidens. Mnyama huyu anayeishi baharini ana nundu pembeni mwa kikono.'],Pseudorca,,©P. Hamilton | ©B. Stanley
27,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=213,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_213a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_213b.jpg,['Spishi 1 (moja tu katika jenasi) imepatikana Tanzania: Orcinus orca. Nyangumi huyu anajulikana pia kwa jina la Orca.'],Orcinus,,©R. Banasiak | ©B. Stanley
25,http://archive.fieldmuseum.org/tanzania/SkullKey_swa.asp?catalog=1&setion=29&key=6,Option-page,Sehemu: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=210,"Meno ni mviringo kwa ndani (cross section).
",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_6a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end_swa.asp?ID=213,"Meno ni mapana zaidi kuliko yalivyo marefu.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_6b.jpg,,"['', '', '©B. Stanley; USNM 485827', '©B. Stanley; USNM 23004', 'Chagua', 'Chagua']",,,©B. Stanley; USNM 485827 | ©B. Stanley; USNM 23004
