taxon,common_names
Chrysochloris stuhlmanni,"[{'taxonname': ""Stuhlmann's Golden Mole"", 'primary': True, 'language': 'eng'}]"
Micropotamogale ruwenzorii,"[{'taxonname': 'Rwenzori Otter Shrew', 'primary': True, 'language': 'eng'}, {'taxonname': 'Ruwenzori Otter Shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'Le Micropotamogle du Mont Ruwenzori', 'primary': False, 'language': 'fre'}]"
Potamogale velox,"[{'taxonname': 'Giant Otter Shrew', 'primary': True, 'language': 'eng'}, {'taxonname': 'Giant Otter-shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'Le Potamogale', 'primary': False, 'language': 'fre'}]"
Elephantulus brachyrhynchus,"[{'taxonname': 'Short-snouted Sengi', 'primary': True, 'language': 'eng'}, {'taxonname': 'Short-snouted Elephant-shrew', 'primary': False, 'language': 'eng'}]"
Elephantulus rufescens,"[{'taxonname': 'Rufous Sengi', 'primary': True, 'language': 'eng'}, {'taxonname': 'Rufous Elephant-shrew', 'primary': False, 'language': 'eng'}]"
Petrodromus tetradactylus,"[{'taxonname': 'Four-toed Sengi', 'primary': True, 'language': 'eng'}, {'taxonname': 'Four-toed Elephant-shrew', 'primary': False, 'language': 'eng'}]"
Rhynchocyon chrysopygus,"[{'taxonname': 'Golden-rumped Sengi', 'primary': True, 'language': 'eng'}, {'taxonname': 'Golden-rumped Elephant-shrew', 'primary': False, 'language': 'eng'}]"
Rhynchocyon cirnei,"[{'taxonname': 'Chequered Sengi', 'primary': True, 'language': 'eng'}, {'taxonname': 'Chequered Elephant-shrew', 'primary': False, 'language': 'eng'}]"
Rhynchocyon petersi,"[{'taxonname': 'Black and Rufous Sengi', 'primary': True, 'language': 'eng'}]"
Rhynchocyon udzungwensis,"[{'taxonname': 'Grey-faced Sengi', 'primary': True, 'language': 'eng'}, {'taxonname': 'Grey-faced Elephant-shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'Gray-faced Sengi', 'primary': False, 'language': 'eng'}]"
Orycteropus afer,"[{'taxonname': 'Aardvark', 'primary': True, 'language': 'eng'}, {'taxonname': 'Antbear', 'primary': False, 'language': 'eng'}, {'taxonname': 'Oryctérope', 'primary': False, 'language': 'fre'}]"
Dendrohyrax arboreus,"[{'taxonname': 'Southern Tree Hyrax', 'primary': True, 'language': 'eng'}, {'taxonname': 'Eastern Tree Dassie', 'primary': False, 'language': 'eng'}, {'taxonname': 'Eastern Tree Hyrax', 'primary': False, 'language': 'eng'}, {'taxonname': 'Southern Tree Dassie', 'primary': False, 'language': 'eng'}, {'taxonname': ""Daman d'Arbre"", 'primary': False, 'language': 'fre'}]"
Heterohyrax brucei,"[{'taxonname': 'Yellow-spotted Rock Hyrax', 'primary': False, 'language': 'eng'}, {'taxonname': 'Hoggar Hyrax', 'primary': False, 'language': 'eng'}, {'taxonname': 'Bush Hyrax', 'primary': True, 'language': 'eng'}, {'taxonname': 'Yellow-spotted Hyrax', 'primary': False, 'language': 'eng'}, {'taxonname': 'Daman de steppe', 'primary': False, 'language': 'fre'}]"
Procavia capensis,"[{'taxonname': 'Rock Hyrax', 'primary': True, 'language': 'eng'}, {'taxonname': 'Rock Dassie', 'primary': False, 'language': 'eng'}, {'taxonname': 'Daman de rocher', 'primary': False, 'language': 'fre'}]"
Loxodonta africana,"[{'taxonname': 'African Savanna Elephant', 'primary': True, 'language': 'eng'}, {'taxonname': 'Savanna Elephant', 'primary': False, 'language': 'eng'}, {'taxonname': 'African Bush Elephant', 'primary': False, 'language': 'eng'}, {'taxonname': 'African Savannah Elephant', 'primary': False, 'language': 'eng'}, {'taxonname': 'Savannah Elephant', 'primary': False, 'language': 'eng'}, {'taxonname': 'Éléphant de savane', 'primary': False, 'language': 'fre'}, {'taxonname': 'Elefante de Sabana', 'primary': False, 'language': 'spa'}]"
Dugong dugon,"[{'taxonname': 'Dugong', 'primary': True, 'language': 'eng'}, {'taxonname': 'Sea Cow', 'primary': False, 'language': 'eng'}, {'taxonname': 'Dugong', 'primary': False, 'language': 'fre'}, {'taxonname': 'Dugon', 'primary': False, 'language': 'spa'}]"
Cercocebus sanjei,"[{'taxonname': 'Sanje Crested Mangabey', 'primary': False, 'language': 'eng'}, {'taxonname': 'Sanje River Mangabey', 'primary': True, 'language': 'eng'}, {'taxonname': 'Sanje Mangabey', 'primary': False, 'language': 'eng'}, {'taxonname': 'Mangabé de la Sanje', 'primary': False, 'language': 'fre'}, {'taxonname': 'Mangabey del Sanje', 'primary': False, 'language': 'spa'}]"
Cercopithecus albogularis,[]
Cercopithecus doggetti,[]
Cercopithecus mitis,"[{'taxonname': 'Blue Monkey', 'primary': True, 'language': 'eng'}, {'taxonname': 'Diademed Monkey', 'primary': False, 'language': 'eng'}, {'taxonname': 'Golden Monkey', 'primary': False, 'language': 'eng'}, {'taxonname': 'Samango', 'primary': False, 'language': 'eng'}, {'taxonname': ""Sykes' Monkey"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Gentle Monkey', 'primary': False, 'language': 'eng'}, {'taxonname': 'Cercopithèque à diadème', 'primary': False, 'language': 'fre'}]"
Chlorocebus pygerythrus,"[{'taxonname': 'Vervet', 'primary': False, 'language': 'eng'}, {'taxonname': 'Vervet Monkey', 'primary': True, 'language': 'eng'}, {'taxonname': 'Vervet bleu', 'primary': False, 'language': 'fre'}, {'taxonname': 'Vervet Oriental', 'primary': False, 'language': 'spa'}]"
Colobus angolensis,"[{'taxonname': 'Angolan Black-and-white Colobus', 'primary': False, 'language': 'eng'}, {'taxonname': 'Angolan Colobus', 'primary': True, 'language': 'eng'}, {'taxonname': 'Angola Colobus', 'primary': False, 'language': 'eng'}, {'taxonname': 'Colobe', 'primary': False, 'language': 'fre'}, {'taxonname': ""Colobe d'Angola"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Colobo de Angola', 'primary': False, 'language': 'spa'}]"
Colobus guereza,"[{'taxonname': 'Guereza', 'primary': True, 'language': 'eng'}, {'taxonname': 'Magistrate Colobus', 'primary': False, 'language': 'eng'}, {'taxonname': 'Eastern Black-and-white Colobus', 'primary': False, 'language': 'eng'}, {'taxonname': ""Colobe de l'Abyssinie"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Colobe guéréza', 'primary': False, 'language': 'fre'}, {'taxonname': 'Colobe à épaules blanches', 'primary': False, 'language': 'fre'}, {'taxonname': 'Colobo Rojo Guereza', 'primary': False, 'language': 'spa'}, {'taxonname': 'Colobo Guereza', 'primary': False, 'language': 'spa'}]"
Erythrocebus patas,"[{'taxonname': 'Patas Monkey', 'primary': True, 'language': 'eng'}, {'taxonname': 'Hussar Monkey', 'primary': False, 'language': 'eng'}, {'taxonname': 'Nisnas', 'primary': False, 'language': 'eng'}, {'taxonname': 'Patas', 'primary': False, 'language': 'eng'}, {'taxonname': 'Singe rouge', 'primary': False, 'language': 'eng'}, {'taxonname': 'Mono Patas', 'primary': False, 'language': 'spa'}]"
Papio anubis,"[{'taxonname': 'Olive Baboon', 'primary': True, 'language': 'eng'}, {'taxonname': 'Anubis Baboon', 'primary': False, 'language': 'eng'}, {'taxonname': 'Babouin anubis', 'primary': False, 'language': 'fre'}, {'taxonname': 'Papión Oliva', 'primary': False, 'language': 'spa'}]"
Papio cynocephalus,"[{'taxonname': 'Yellow Baboon', 'primary': True, 'language': 'eng'}, {'taxonname': 'Babouin cynocépahle', 'primary': False, 'language': 'fre'}, {'taxonname': 'Papión Dorado', 'primary': False, 'language': 'spa'}]"
Piliocolobus gordonorum,"[{'taxonname': 'Udzungwa Red Colobus', 'primary': True, 'language': 'eng'}, {'taxonname': 'Uhehe Red Colobus', 'primary': False, 'language': 'eng'}, {'taxonname': 'Colobe des Gordon', 'primary': False, 'language': 'fre'}, {'taxonname': 'Colobo Rojo de Udzungwa', 'primary': False, 'language': 'spa'}]"
Piliocolobus kirkii,"[{'taxonname': ""Kirk's Red Colobus"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Zanzibar Red Colobus', 'primary': True, 'language': 'eng'}, {'taxonname': 'Colobe de Zanzibar', 'primary': False, 'language': 'fre'}, {'taxonname': 'Colobo Rojo de Zanzibar', 'primary': False, 'language': 'spa'}]"
Piliocolobus tephrosceles,"[{'taxonname': 'Ashy Red Colobus', 'primary': True, 'language': 'eng'}, {'taxonname': 'Uganda Red Colobus', 'primary': False, 'language': 'eng'}, {'taxonname': ""Colobe d'Ouganda"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Colobo Rojo de Tanzania', 'primary': False, 'language': 'spa'}]"
Rungwecebus kipunji,"[{'taxonname': 'Kipunji', 'primary': True, 'language': 'eng'}, {'taxonname': 'Kipunji', 'primary': False, 'language': 'fre'}, {'taxonname': 'Kipunji', 'primary': False, 'language': 'spa'}]"
Galago granti,[]
Galago moholi,"[{'taxonname': 'Southern Lesser Galago', 'primary': True, 'language': 'eng'}, {'taxonname': 'South African Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'South African Lesser Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Mohol Galago', 'primary': False, 'language': 'fre'}]"
Galago orinus,[]
Galago rondoensis,[]
Galago senegalensis,"[{'taxonname': 'Northern Lesser Galago', 'primary': True, 'language': 'eng'}, {'taxonname': 'Senegal Lesser Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Senegal Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lesser Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lesser Bushbaby', 'primary': False, 'language': 'eng'}, {'taxonname': 'Galago du Sénégal', 'primary': False, 'language': 'fre'}, {'taxonname': 'Gálago de Senegal', 'primary': False, 'language': 'spa'}]"
Galago zanzibaricus,[]
Otolemur crassicaudatus,"[{'taxonname': ""Garnett's Greater Galago"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Thick-tailed Greater Galago', 'primary': True, 'language': 'eng'}, {'taxonname': 'Greater Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Greater Bushbaby', 'primary': False, 'language': 'eng'}, {'taxonname': 'Large-eared Greater Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Thick-tailed Bushbaby', 'primary': False, 'language': 'eng'}, {'taxonname': 'Grand Galago', 'primary': False, 'language': 'fre'}, {'taxonname': 'Galago à queue touffue', 'primary': False, 'language': 'fre'}, {'taxonname': 'Gálago de Cola Gruesa', 'primary': False, 'language': 'spa'}]"
